SBD,TOÁN,VĂN,LÝ,HÓA,SINH,SỬ,ĐỊA,GDCD,ANH,KHTN,KHXH,KHỐI A,KHỐI B,KHỐI C,KHỐI D,KHỐI A1
13005464,6.4,6.25,,,,4.25,6.5,9.25,3.4,,6.67,,,17,16.05,
13005473,3.6,6,,,,3.5,5.25,7.25,3,,5.33,,,14.75,12.6,
13005491,4.4,5.25,,,,4.25,6.5,7.5,4.2,,6.08,,,16,13.85,
13003460,4,5.5,,,,2.75,5.25,8.25,2.4,,5.42,,,13.5,11.9,
13003468,3.8,4.5,,,,2.75,5,8.25,3.6,,5.33,,,12.25,11.9,
13003469,3.8,4.5,,,,3.5,6.5,8,3.2,,6,,,14.5,11.5,
13003485,2,4,,,,3.25,4.25,6.75,2.6,,4.75,,,11.5,8.6,
13003487,3.4,4,2.5,3.25,3.5,3.25,3.25,6.5,2,3.08,4.33,9.15,10.15,10.5,9.4,7.9
13003489,5,8.5,,,,3.5,7,8.75,5.2,,6.42,,,19,18.7,
13003492,4.4,7.25,,,,6.25,6.75,7.5,4,,6.83,,,20.25,15.65,
13003470,3.4,4,,,,4.75,3.75,7.25,3.4,,5.25,,,12.5,10.8,
13003472,5.4,5.5,,,,3.25,7.5,8.75,4,,6.5,,,16.25,14.9,
13003474,2.8,3,,,,2.75,6.5,7,2.8,,5.42,,,12.25,8.6,
13003477,2.6,4.25,,,,4.75,5.25,4.5,2.2,,4.83,,,14.25,9.05,
13003479,3,4.75,,,,4.25,6.75,7.75,3.4,,6.25,,,15.75,11.15,
13003482,3.2,3,,,,2.5,3,6,2.8,,3.83,,,8.5,9,
13003495,1.6,6.25,,,,3,4.75,8.75,2.2,,5.5,,,14,10.05,
13003544,5.2,5.5,,,,3.25,7.25,9,3.6,,6.5,,,16,14.3,
13003546,4,3.5,,,,3,4.25,7,2.8,,4.75,,,10.75,10.3,
13003548,3.2,5.5,2.5,3.25,4,2.5,5,7.75,1.8,3.25,5.08,8.95,10.45,13,10.5,7.5
13003553,3,3.75,,,,3.25,4.25,7.25,2.8,,4.92,,,11.25,9.55,
13003552,3.2,6,,,,3.5,6.25,7,1.8,,5.58,,,15.75,11,
13003559,2,6,,,,3.75,5.5,6.5,3,,5.25,,,15.25,11,
13003563,2.8,6,,,,3.75,5.25,7.25,2.4,,5.42,,,15,11.2,
13003566,2,5,,,,3.25,6.75,7.75,1.8,,5.92,,,15,8.8,
13003567,3.2,3.5,,,,6.5,5.5,7.25,2,,6.42,,,15.5,8.7,
13003572,4.2,4.75,,,,4.5,6,7.75,2.8,,6.08,,,15.25,11.75,
13005650,3.6,4,,,,2.75,4.25,7.75,2.8,,4.92,,,11,10.4,
13005676,4.2,4.5,,,,0.75,4.75,3.25,2.8,,2.92,,,10,11.5,
13005678,4.2,4,,,,3.75,5.5,6.25,2.2,,5.17,,,13.25,10.4,
13005680,5.4,6.5,,,,4,7,8.5,3.2,,6.5,,,17.5,15.1,
13005682,2.8,3.25,,,,4,3.5,4,4.2,,3.83,,,10.75,10.25,
13005674,3.4,3,,,,3,5,4.25,3.2,,4.08,,,11,9.6,
13005684,2.8,3.5,,,,4,3.75,5,2.4,,4.25,,,11.25,8.7,
13003243,3.8,4.5,,,,4.25,7,6.25,2.4,,5.83,,,15.75,10.7,
13003259,3.2,5.75,,,,2.75,5,8,3,,5.25,,,13.5,11.95,
13003249,5,6.75,,,,2.5,6,7.5,3,,5.33,,,15.25,14.75,
13003252,2.2,3.25,,,,4,4.75,4.75,2.6,,4.5,,,12,8.05,
13003255,2.8,3,,,,3.5,5.5,5.25,2.2,,4.75,,,12,8,
13003578,2.8,2.75,,,,2.75,3.25,5.75,3.4,,3.92,,,8.75,8.95,
13003581,3.8,3.5,,,,3,4,6.75,1.6,,4.58,,,10.5,8.9,
13003557,4.8,5,,,,3.25,5.5,7.75,2.8,,5.5,,,13.75,12.6,
13003560,2.6,4,,,,2.75,5.25,8,2.8,,5.33,,,12,9.4,
13003569,3.8,4.5,,,,3.25,6,8,3,,5.75,,,13.75,11.3,
13003575,5,6.25,,,,3,6,7.25,1.4,,5.42,,,15.25,12.65,
13003615,2,3.5,,,,4.5,6,6.5,1.8,,5.67,,,14,7.3,
13003618,4,4.75,,,,3.75,5,8.5,1.6,,5.75,,,13.5,10.35,
13003620,2.8,2.5,,,,4,6.25,8,2,,6.08,,,12.75,7.3,
13003586,3.6,3,,,,2.5,4.75,7.75,2.2,,5,,,10.25,8.8,
13003591,4.2,5.25,,,,4.25,6.75,8.25,3.8,,6.42,,,16.25,13.25,
13003593,4.2,3,,,,3.5,6.25,7.75,2.6,,5.83,,,12.75,9.8,
13005683,3.6,,,7,3,,,,,,,,13.6,,,
13005597,6.4,,,7,7,,,,,,,,20.4,,,
13006144,4.2,5,,,,5.25,6.5,6.25,5,,6,,,16.75,14.2,
13006150,4.2,5.5,,,,4.25,3.5,4.5,3.8,,4.08,,,13.25,13.5,
13006159,3.8,7.5,5.25,5,3.75,5.75,6.25,4.75,6.2,4.67,5.58,14.05,12.55,19.5,17.5,15.25
13006169,5.2,6,,,,2.75,3.75,4,5.6,,3.5,,,12.5,16.8,
13006176,4.6,6.75,,,,5.75,8.5,5.25,4.4,,6.5,,,21,15.75,
13006181,3.2,5.5,,,,5.25,5,3.25,5.2,,4.5,,,15.75,13.9,
13006189,4.6,5.25,,,,4.75,3.75,3,5,,3.83,,,13.75,14.85,
13006192,3,5,,,,5.25,7.75,6.25,3,,6.42,,,18,11,
13006195,4.8,6.5,,,,3.5,7.25,5.5,5.2,,5.42,,,17.25,16.5,
13006084,3.8,4.25,,,,5.25,5.25,2.5,3.8,,4.33,,,14.75,11.85,
13006086,5.4,5.75,6,5.5,5.5,4,5.5,5.25,4.4,5.67,4.92,16.9,16.4,15.25,15.55,15.8
13006092,4.6,5.75,,,,3,6.25,3.25,4,,4.17,,,15,14.35,
13006099,4.2,5,,,,4.5,5.25,4.25,3.2,,4.67,,,14.75,12.4,
13006104,3.4,5,,,,4.25,5.75,5.5,5,,5.17,,,15,13.4,
13006089,4.8,5,,,,5.5,5,4.75,5.2,,5.08,,,15.5,15,
13006102,4.8,5,,,,1.5,6,5.5,3.2,,4.33,,,12.5,13,
13000704,4,5.5,,,,2.75,5.5,7,2.4,,5.08,,,13.75,11.9,
13000706,5.6,7.5,,,,4.5,5.25,7.25,3.8,,5.67,,,17.25,16.9,
13000708,2,4.75,,,,3.25,6,7.75,3,,5.67,,,14,9.75,
13000710,4.6,3.25,,,,3.5,6,7.75,1.2,,5.75,,,12.75,9.05,
13000713,2.2,3,,,,2.25,4.5,4.75,2.4,,3.83,,,9.75,7.6,
13000715,2.8,5,,,,3.5,3.75,3.75,2,,3.67,,,12.25,9.8,
13000717,2.8,4,,,,3.75,4.75,5.25,3,,4.58,,,12.5,9.8,
13000721,1.2,4.75,,,,3,3.75,5.5,2.6,,4.08,,,11.5,8.55,
13000725,2.4,7,,,,3.75,5.25,6.75,3.8,,5.25,,,16,13.2,
13001141,3.8,4.25,,,,3.75,5.75,5,2.4,,4.83,,,13.75,10.45,
13001143,2.2,4,,,,1.75,5.75,6.5,1.8,,4.67,,,11.5,8,
13001145,5.2,7,,,,6.25,8.75,7.25,3.4,,7.42,,,22,15.6,
13001126,3.4,4.5,,,,2.75,6.75,7,4.2,,5.5,,,14,12.1,
13001129,4.4,3,,,,2.5,4.25,6.75,3,,4.5,,,9.75,10.4,
13001132,4.2,3.5,,,,3.25,4.75,7.5,1,,5.17,,,11.5,8.7,
13001138,3.8,4.25,,,,1.75,6,5.25,4.4,,4.33,,,12,12.45,
13001015,3.6,4.25,6.75,7,5.5,3.75,5.25,5,3,6.42,4.67,17.35,16.1,13.25,10.85,13.35
13004723,1.8,4.5,,,,2,4.75,7.25,3.4,,4.67,,,11.25,9.7,
13004735,3.6,5.25,,,,4,6.5,7.25,2.4,,5.92,,,15.75,11.25,
13004738,2.2,3.5,,,,6.25,5.75,7.25,2.4,,6.42,,,15.5,8.1,
13004740,3.6,3.25,,,,4.5,7,7.5,4.4,,6.33,,,14.75,11.25,
13004743,4,5,4.5,3.25,4.25,4,6.75,7.5,2.8,4,6.08,11.75,11.5,15.75,11.8,11.3
13004746,3.2,3.75,,,,3,4,7,3.8,,4.67,,,10.75,10.75,
13004752,3.8,3.25,,,,3.5,6,7.25,6.2,,5.58,,,12.75,13.25,
13004760,3.8,4.5,,,,4.25,5.25,8.75,3.6,,6.08,,,14,11.9,
13004771,4,6.5,,,,5,7.75,7.5,3,,6.75,,,19.25,13.5,
13004786,2.4,3.5,,,,3,5,7.5,2,,5.17,,,11.5,7.9,
13005077,2.6,5,,,,2,6,7,2.4,,5,,,13,10,
13005080,2.6,6,,,,3.5,4.25,7,1.8,,4.92,,,13.75,10.4,
13005090,3.6,5.25,,,,2.5,4.25,7.75,2.4,,4.83,,,12,11.25,
13005092,3,7.25,,,,3,6.75,7.25,4.4,,5.67,,,17,14.65,
13005094,4,7.25,,,,4,5.5,6,3,,5.17,,,16.75,14.25,
13005083,4.2,6.5,,,,6.25,6.75,8.25,2.6,,7.08,,,19.5,13.3,
13004821,4.8,4.5,4.75,4.5,5.5,,,,3.2,4.92,,14.05,14.8,,12.5,12.75
13005761,3.6,5.25,,,,3.25,4.5,5,1.8,,4.25,,,13,10.65,
13005767,2.6,5.5,,,,1.75,5.5,7.75,2,,5,,,12.75,10.1,
13005772,3.8,6.25,,,,2.5,6.5,7.25,3.6,,5.42,,,15.25,13.65,
13005778,6.4,8.5,,,,6.25,7.75,7,5.6,,7,,,22.5,20.5,
13005790,1.8,5,,,,1.5,3.5,5.75,3,,3.58,,,10,9.8,
13005799,3.6,5,,,,4.25,6.75,6.75,2.2,,5.92,,,16,10.8,
13005802,6,7.75,,,,7.5,8.25,8.25,3.8,,8,,,23.5,17.55,
13005805,3.4,5.5,,,,2.25,4.25,4.75,1.4,,3.75,,,12,10.3,
13005816,3.8,6,,,,3.25,5,7,2.4,,5.08,,,14.25,12.2,
13005840,3.6,5.75,,,,3,6,5,2.6,,4.67,,,14.75,11.95,
13005850,3.6,6.5,,,,6.25,5.25,7.25,3.6,,6.25,,,18,13.7,
13005862,4.6,7.75,,,,6.75,8.25,6.25,3.2,,7.08,,,22.75,15.55,
13006249,4.4,4.5,,,,3.5,4.75,4.25,3.8,,4.17,,,12.75,12.7,
13006255,2.4,3.75,,,,3.25,4.5,3.25,4,,3.67,,,11.5,10.15,
13006264,3.6,3.5,,,,4.5,3.75,6.25,4.2,,4.83,,,11.75,11.3,
13006268,3.2,2.5,,,,3.75,2.25,2.5,4.2,,2.83,,,8.5,9.9,
13006274,5.4,4,,,,4.25,4.25,4.5,4,,4.33,,,12.5,13.4,
13003498,3.4,6,,,,2.25,4.25,7.25,3.8,,4.58,,,12.5,13.2,
13003514,2.4,6,,,,2.5,3.5,6.25,3.8,,4.08,,,12,12.2,
13003516,4.4,6,,,,3.5,6.5,9,1.6,,6.33,,,16,12,
13003523,5.2,8.25,,,,6.75,8.25,9,3.4,,8,,,23.25,16.85,
13003524,3.8,4.5,,,,3.25,3,6.5,3.6,,4.25,,,10.75,11.9,
13003501,4.2,3.25,,,,3.5,5,6,2.4,,4.83,,,11.75,9.85,
13003506,2.6,5,,,,2.5,5,6.5,2,,4.67,,,12.5,9.6,
13003508,4.4,5.5,,,,6,5.5,7.5,3.8,,6.33,,,17,13.7,
13005612,3.2,4.5,,,,2.75,4,6.25,4.2,,4.33,,,11.25,11.9,
13005603,3.6,2.25,,,,3.5,5.75,6.5,1.8,,5.25,,,11.5,7.65,
13005614,2.6,4.75,,,,2.75,6.5,7,3,,5.42,,,14,10.35,
13005622,3.6,2.5,,,,2,5.25,6.75,3,,4.67,,,9.75,9.1,
13005624,2.4,4.75,,,,3.5,5.25,6.25,1.6,,5,,,13.5,8.75,
13005627,4.2,4.75,,,,3.25,3.75,7.5,2.8,,4.83,,,11.75,11.75,
13005630,3,3.25,,,,3.5,3.25,6.75,3.8,,4.5,,,10,10.05,
13005607,4.2,6,,,,3.5,5,7.25,3.6,,5.25,,,14.5,13.8,
13005608,3.8,5.5,,,,4.5,6.25,8.5,3.2,,6.42,,,16.25,12.5,
13005687,4.6,3,,,,2.75,2.75,7.25,2.6,,4.25,,,8.5,10.2,
13005689,5.6,3.75,,,,3.75,4.5,5.5,4,,4.58,,,12,13.35,
13005702,3,4.25,3,3.75,4,5,6.25,8.25,3,3.58,6.5,9.75,10.75,15.5,10.25,9
13005704,4.6,3.75,,,,4,4.75,5.5,2.6,,4.75,,,12.5,10.95,
13005712,3,6.25,,,,3.5,5.75,8.25,2.6,,5.83,,,15.5,11.85,
13005692,4.4,6,,,,3.75,4.75,5.25,2.4,,4.58,,,14.5,12.8,
13005698,4.4,3,,,,4.75,4.5,7,2.6,,5.42,,,12.25,10,
13005707,4,4.25,,,,3.75,4.5,5.75,2.4,,4.67,,,12.5,10.65,
13005693,3.6,4,4,3,3.25,3.5,5,8.5,2.4,3.42,5.67,10.6,9.85,12.5,10,10
13005705,3.6,5,4.25,3,3.25,2.5,5.25,6.5,2.6,3.5,4.75,10.85,9.85,12.75,11.2,10.45
13005530,3,4.5,4,3.25,4.5,4.75,5.75,8.25,3.6,3.92,6.25,10.25,10.75,15,11.1,10.6
13005532,2.8,6,4.5,3.75,4,2.75,4.25,6.75,2.8,4.08,4.58,11.05,10.55,13,11.6,10.1
13005661,3.2,4.75,5.5,6.5,3.75,1,3.5,6.5,1.6,5.25,3.67,15.2,13.45,9.25,9.55,10.3
13006078,4.6,3,,,,5,4.5,7,3.8,,5.5,,,12.5,11.4,
13006090,3.4,4.25,,,,3,5.5,3,5.8,,3.83,,,12.75,13.45,
13003596,1.2,4,,,,3,4.75,6.75,2.6,,4.83,,,11.75,7.8,
13003605,5,5.75,,,,3.5,5.5,7.75,2.2,,5.58,,,14.75,12.95,
13003607,3.2,2.5,,,,2.75,3.5,6.75,3,,4.33,,,8.75,8.7,
13003613,2.4,4.75,,,,4,4.75,5.75,2.6,,4.83,,,13.5,9.75,
13003597,3.2,4.75,,,,3.75,5.25,6,2.4,,5,,,13.75,10.35,
13003601,4,5.5,,,,4.25,5.75,8.5,2.2,,6.17,,,15.5,11.7,
13005593,5.4,4.25,4,3.5,3.75,3.5,5.25,7.5,2.6,3.75,5.42,12.9,12.65,13,12.25,12
13005626,3.4,4,4,2.75,4.25,3.25,6.25,7.5,3.4,3.67,5.67,10.15,10.4,13.5,10.8,10.8
13005560,4.6,0.5,,,,4.75,4.25,,,,,,,9.5,,
13005587,4.4,5.75,,,,5.5,5.25,6,2.2,,5.58,,,16.5,12.35,
13005599,6.4,,,7,5.5,,,,,,,,18.9,,,
13005618,4.8,3,2.5,2.75,2,5.25,7,6.75,5.4,2.42,6.33,10.05,9.55,15.25,13.2,12.7
13005631,4.2,3,3.25,5.5,4,,,,2,4.25,,12.95,13.7,,9.2,9.45
13005639,3,2.25,,,,5.25,5.5,,,,,,,13,,
13005651,4.8,5.5,,,,5,7.5,6,4.8,,6.17,,,18,15.1,
13005665,4,5.75,,3.75,3.5,3.75,6,,,,,,11.25,15.5,,
13005529,5,6.5,2.25,2,4.25,7,8.5,8.5,2.4,2.83,8,9.25,11.25,22,13.9,9.65
13006111,3.6,6,,,,3.75,6.5,5.25,4.4,,5.17,,,16.25,14,
13006219,2,5.75,,,,3.75,4,,,,,,,13.5,,
13006337,4,3.75,,,,5.25,4,,,,,,,13,,
13006364,3.6,3.75,,,,4.5,4.75,,,,,,,13,,
13006278,4,4,,,,2.75,3.5,,,,,,,10.25,,
13006319,2,3,,,,2.75,2.25,,,,,,,8,,
13006341,3.8,3,,,,3,3,,,,,,,9,,
13006488,6.2,8,,,,7.75,6.5,2.5,,,5.58,,,22.25,,
13006503,2.2,3.25,,,,2.75,,,,,,,,,,
13006510,2.2,4.5,,,,3,,,,,,,,,,
13006521,7.2,9,,,,8.75,,,,,,,,,,
13006524,6,5,,,,6.5,,,,,,,,,,
13006529,2.4,6.25,,,,3.5,,,,,,,,,,
13006539,6,8.5,,,,6.75,,,,,,,,,,
13006546,3.2,3.25,,,,3,,,,,,,,,,
13006552,1.6,6.5,,,,5,,,,,,,,,,
13001385,5.6,4.5,,,,3.75,5,8.5,3,,5.75,,,13.25,13.1,
13001147,5.2,8.25,,,,6.75,8,8.5,5.4,,7.75,,,23,18.85,
13001159,3.2,5.5,,,,6,5.75,7.5,5.4,,6.42,,,17.25,14.1,
13001163,4.8,7.75,,,,6,8,8.75,3.6,,7.58,,,21.75,16.15,
13001170,4.2,7.25,,,,5.75,5.75,7.5,4.4,,6.33,,,18.75,15.85,
13001202,5.2,6.5,,,,7.5,8,8.75,3.8,,8.08,,,22,15.5,
13000977,4,6,2.25,3.25,3.5,3.75,4.5,6.75,6.4,3,5,9.5,10.75,14.25,16.4,12.65
13000978,5.4,6.5,4.75,4.5,5.5,,,,3.8,4.92,,14.65,15.4,,15.7,13.95
13001111,3.6,5.25,3.75,3.25,2,,,,3,3,,10.6,8.85,,11.85,10.35
13003679,3,3.5,3.5,5,2.5,3.5,4.75,5.75,3.8,3.67,4.67,11.5,10.5,11.75,10.3,10.3
13003685,3,3,,,,4.25,5.5,6.5,3.4,,5.42,,,12.75,9.4,
13003690,2.6,6.75,,,,3.75,5.25,8,2.8,,5.67,,,15.75,12.15,
13003695,3.4,5.75,,,,4.25,5.75,7.5,3,,5.83,,,15.75,12.15,
13003702,4.2,6.25,3.5,3.5,3.25,,,,4.2,3.42,,11.2,10.95,,14.65,11.9
13003708,2.8,2.25,,,,2.75,4.75,5,2.8,,4.17,,,9.75,7.85,
13003713,3,2,2.25,3.5,2.5,3.25,3.5,5.5,2.6,2.75,4.08,8.75,9,8.75,7.6,7.85
13003719,4.6,7.5,,,,5,6.75,8.75,4,,6.83,,,19.25,16.1,
13004176,4.2,5.25,,,,3.75,4.75,5.5,2.4,,4.67,,,13.75,11.85,
13004181,5.4,5.5,,,,4.25,5.5,8.25,2.8,,6,,,15.25,13.7,
13004185,4.6,6.25,6,3.5,6,,,,3.2,5.17,,14.1,14.1,,14.05,13.8
13004194,5,3.5,,,,3.5,5.5,7.5,3.4,,5.5,,,12.5,11.9,
13004200,5,6.5,4,3,3,,,,3,3.33,,12,11,,14.5,12
13004683,4.8,5.25,3.25,3.75,4.25,5.25,7,7.25,4.8,3.75,6.5,11.8,12.8,17.5,14.85,12.85
13004697,5.6,7.5,5,3.25,3.25,3.25,5.25,7,4.8,3.83,5.17,13.85,12.1,16,17.9,15.4
13004715,5.2,6.75,5.75,3.75,5,,,,4.2,4.83,,14.7,13.95,,16.15,15.15
13004744,5.4,5,3.25,4,4,3.5,6,7.25,3.4,3.75,5.58,12.65,13.4,14.5,13.8,12.05
13004772,4.8,6.75,5.25,5.5,4.75,,,,3.8,5.17,,15.55,15.05,,15.35,13.85
13004777,6.4,8.5,5.75,4.75,4.75,,,,5.6,5.08,,16.9,15.9,,20.5,17.75
13004785,6.4,5.25,7.5,4.75,5.5,5.75,8.25,8,5,5.92,7.33,18.65,16.65,19.25,16.65,18.9
13004795,4.8,6.25,5.75,5,5.75,,,,4,5.5,,15.55,15.55,,15.05,14.55
13006973,3.4,4.5,,,,3.5,5,,,,,,,13,,
13006979,4.4,5,,,,4.75,3.25,,,,,,,13,,
13006989,3.6,5.5,,,,4,3.25,,,,,,,12.75,,
13006992,4.6,7,,,,4,6,,,,,,,17,,
13006995,2,5.75,,,,5.25,6.75,,,,,,,17.75,,
13007001,3,6,,,,5,4.5,,,,,,,15.5,,
13007004,2.8,7,,,,2.75,4.5,,,,,,,14.25,,
13007007,5,5.75,,,,4.75,6.5,,,,,,,17,,
13007010,5.2,4.75,,,,3.25,5,,,,,,,13,,
13007013,3.8,4,,,,4.25,4.75,,,,,,,13,,
13007019,4.8,5,,,,4,5,,,,,,,14,,
13006275,4,3.5,,,,4.5,2.75,3.25,4,,3.5,,,10.75,11.5,
13006291,3,3.75,,,,2.75,3.75,4,4.8,,3.5,,,10.25,11.55,
13006295,3.8,5.5,,,,3.75,5.25,5.5,3.6,,4.83,,,14.5,12.9,
13006298,4,4,2,3.5,2.75,3.25,5,5.75,4,2.75,4.67,9.5,10.25,12.25,12,10
13006309,3,3.75,,,,4.5,3.75,3,3.4,,3.75,,,12,10.15,
13006332,2.6,4.5,,,,4.25,4,6.75,5.6,,5,,,12.75,12.7,
13006336,1.8,4.75,,,,3,4,3.75,4.2,,3.58,,,11.75,10.75,
13006340,2.6,3.75,,,,4.5,5.75,3.75,4,,4.67,,,14,10.35,
13006367,5,5.25,4,4.5,3.75,4.25,7.25,6.75,2.4,4.08,6.08,13.5,13.25,16.75,12.65,11.4
13006380,3.6,3.75,,,,4,6,3.75,4.6,,4.58,,,13.75,11.95,
13006388,3.4,4.5,,,,3.5,4.75,5.5,2,,4.58,,,12.75,9.9,
13006508,5.6,7.5,,,,5.25,,,,,,,,,,
13006516,3.2,4.5,,,,4.5,,,,,,,,,,
13006517,3.6,4,,,,3.75,,,,,,,,,,
13006528,6.2,6.5,,,,7.75,,,,,,,,,,
13006537,5.8,5.75,,,,7,,,,,,,,,,
13006544,6.2,5.5,,,,8.25,,,,,,,,,,
13006558,4.6,7.5,,,,6.5,,,,,,,,,,
13006565,3.8,5.75,,,,4.75,,,,,,,,,,
13006571,6,6.5,,,,6.5,,,,,,,,,,
13005590,7.2,,7,6.75,,,,,,,,20.95,,,,
13005635,4.4,,5.5,6.5,,,,,,,,16.4,,,,
13005616,3.2,3,5.25,4,3.25,2.25,5,5,2.4,4.17,4.08,12.45,10.45,10.25,8.6,10.85
13005637,3.4,3.5,,,,4.75,6.75,7.5,2.8,,6.33,,,15,9.7,
13005668,3.2,4.5,,,,2.25,3.75,8.5,1.8,,4.83,,,10.5,9.5,
13005673,3.2,6,,,,6.75,7,8.75,2.4,,7.5,,,19.75,11.6,
13005633,3.4,3.75,,,,3,4.5,5.75,3,,4.42,,,11.25,10.15,
13005641,2.4,2.75,,,,2.25,3.5,5,2.6,,3.58,,,8.5,7.75,
13005645,2,3,,,,3.5,3.75,6.5,2.6,,4.58,,,10.25,7.6,
13005647,2.8,3.75,,,,3.5,3.25,6.75,2.8,,4.5,,,10.5,9.35,
13005653,2.6,4.25,4.25,5.75,3.25,3.5,5.75,7.5,1.8,4.42,5.58,12.6,11.6,13.5,8.65,8.65
13005658,3.6,4.25,,,,2.25,6,6.25,2.2,,4.83,,,12.5,10.05,
13006053,5.4,5.25,,,,5.25,4.75,5.75,4.2,,5.25,,,15.25,14.85,
13006033,4,4.75,,,,5.25,4.75,5.75,3.4,,5.25,,,14.75,12.15,
